Name,Type,County,ElectionDate,Amount,Purpose,Description,PropNumber,VotesFor,VotesAgainst,Result
Henrietta ISD,ISD,Clay,5/4/24,1000000,Other,Athletic Facilities Improvements,B,420,289,Carried
Hearne ISD,ISD,Robertson,5/4/24,3500000,Other,Athletic Facilities Improvements,B,257,157,Carried
Hallettsville ISD,ISD,Lavaca,5/4/24,1800000,Other,School Building & Security,A,1003,546,Carried
Grapevine-Colleyville ISD,ISD,Tarrant,5/4/24,134236405,Other,School Building & Security,A,7249,4476,Carried
Grapevine-Colleyville ISD,ISD,Tarrant,5/4/24,5538041,Other,Athletic Facilities Improvements,C,7044,4660,Carried
College Station ISD,ISD,Brazos,5/4/24,13270000,Other,School Building/Stadium,B,3106,2389,Carried
Argyle ISD,ISD,Denton,5/4/24,6500000,Other,Technology,C,1800,1181,Carried
Farmersville ISD,ISD,Collin,5/4/24,98000000,Building,School  Building,A,774,394,Carried
College Station ISD,ISD,Brazos,5/4/24,40200000,Other,Athletic Facilities Improvements,A,3129,2373,Carried
New Braunfels ISD,ISD,Comal,5/4/24,42500000,Other,Stadium,B,2469,1268,Carried
New Braunfels ISD,ISD,Comal,5/4/24,3000000,Other,Technology,C,2701,1306,Carried
New Braunfels ISD,ISD,Comal,5/4/24,267500000,Other,School Building & Security,A,2801,946,Carried
Grapevine-Colleyville ISD,ISD,Tarrant,5/4/24,10225554,Other,Technology,B,7367,4343,Carried
Pittsburg ISD,ISD,Camp,5/4/24,74400000,Other,Security,A,1396,924,Carried
Pearland ISD,ISD,Brazoria,5/4/24,75000000,Other,School Building & Security,A,2054,1618,Carried
Pearland ISD,ISD,Brazoria,5/4/24,30000000,Other,Technology,B,2068,1589,Carried
Pittsburg ISD,ISD,Camp,5/4/24,19400000,Other,School Building & Security,B,1367,946,Carried
Barbers Hill ISD,ISD,Chambers,5/4/24,378300000,Building,School  Building,A,902,196,Carried
McDade ISD,ISD,Bastrop,5/4/24,4000000,Building,School  Building,A,97,93,Carried
La Vega ISD,ISD,McLennan,5/4/24,4501507,Other,Stadium,B,275,144,Carried
Sulphur Bluff ISD,ISD,Hopkins-Franklin,5/4/24,6000000,Other,School Building & Buses,A,111,42,Carried
Sonora ISD,ISD,Sutton,5/4/24,17900000,Building,School  Building,A,257,175,Carried
Whitesboro ISD,ISD,Grayson,5/4/24,18000000,Building,Multi-Pupose Center,B,652,635,Carried
Sweeny ISD,ISD,Brazoria,5/4/24,21000000,Other,Athletic Facilities Improvements,B,412,336,Carried
Seagraves ISD,ISD,Gaines,5/4/24,6000000,Other,School Building & Buses,A,170,118,Carried
Willis ISD,ISD,Montgomery,5/4/24,102700000,Other,School Building Improvements,A,2350,1868,Carried
Taft ISD,ISD,San Patricio,5/4/24,47900000,Building,School  Building,A,308,83,Carried
West Orange-Cove CISD,ISD,Orange,5/4/24,72000000,Building,School  Building,A,333,244,Carried
Sanford-Fritch ISD,ISD,Hutchinson,5/4/24,6000000,Other,School Building & Buses,A,125,50,Carried
Whitesboro ISD,ISD,Grayson,5/4/24,100000000,Other,School Building & Security,A,767,524,Carried
Thorndale ISD,ISD,Milam,5/4/24,34500000,Building,School  Building,A,467,131,Carried
Sweet Home ISD,ISD,Lavaca,5/4/24,6000000,Building,School  Building,A,117,69,Carried
Sanford-Fritch ISD,ISD,Hutchinson,5/4/24,500000,Other,Athletic Facilities Improvements,B,124,51,Carried
Sweeny ISD,ISD,Brazoria,5/4/24,21000000,Other,Stadium,A,410,341,Carried
Tioga ISD,ISD,Grayson,5/4/24,26305000,Refund,Refunding,A,182,155,Carried
Christoval ISD,ISD,Tom Green,5/4/24,19500000,Other,School Building & Buses,A,340,285,Carried
Culberson County-Allamoore ISD,ISD,Culberson,5/4/24,26000000,Building,School  Building,A,227,58,Carried
Florence ISD,ISD,Williamson,5/4/24,4500000,Other,School Building & Security,A,140,65,Carried
Culberson County-Allamoore ISD,ISD,Culberson,5/4/24,2000000,Other,Recreation,B,232,54,Carried
Bovina ISD,ISD,Parmer,5/4/24,8000000,Building,School  Building,A,231,125,Carried
Everman ISD,ISD,Tarrant,5/4/24,49015480,Other,School Building & Security,A,321,168,Carried
Culberson County-Allamoore ISD,ISD,Culberson,5/4/24,7000000,Building,Natatorium,D,232,54,Carried
Comstock ISD,ISD,Val Verde,5/4/24,250000,Other,Technology,B,64,21,Carried
Culberson County-Allamoore ISD,ISD,Culberson,5/4/24,2000000,Other,Athletic Facilities Improvements,C,225,59,Carried
Everman ISD,ISD,Tarrant,5/4/24,18084304,Building,Multi-Pupose Center,B,246,234,Carried
Bynum ISD,ISD,Hill,5/4/24,9000000,Building,School  Building,A,45,21,Carried
Columbus ISD,ISD,Colorado,5/4/24,8440000,Building,School  Building,A,807,465,Carried
Boyd ISD,ISD,Wise,5/4/24,20000000,Building,School  Building,A,407,360,Carried
Chapel Hill ISDb,ISD,Titus,5/4/24,9300000,Building,School  Building,A,381,187,Carried
Bishop CISD,ISD,Nueces,5/4/24,20000000,Other,School Building & Buses,A,323,310,Carried
Bronte ISD,ISD,Coke,5/4/24,10965000,Other,School Building & Buses,A,177,57,Carried
Calallen ISD,ISD,Nueces,5/4/24,12573000,Other,Athletic Facilities Improvements,A,506,444,Carried
Forestburg ISD,ISD,Montague,5/4/24,2100000,Other,Athletic Facilities Improvements,B,86,72,Carried
Culberson County-Allamoore ISD,ISD,Culberson,5/4/24,5000000,Other,Performing Arts,F,233,51,Carried
Comanche ISD,ISD,Comanche,5/4/24,31700000,Other,School Building & Security,A,417,356,Carried
Aquilla ISD,ISD,Hill,5/4/24,9100000,Building,School  Building,A,210,164,Carried
Canadian ISD,ISD,Hemphill,5/4/24,18000000,Other,School Building & Buses,A,300,58,Carried
Cayuga ISD,ISD,Anderson,5/4/24,6000000,Building,School  Building,A,171,115,Carried
Chico ISD,ISD,Wise,5/4/24,1500000,Other,Athletic Facilities Improvements,B,181,144,Carried
Elysian Fields ISD,ISD,Harrison-Panola,5/4/24,2578469,Other,Stadium,B,198,177,Carried
Beeville ISD,ISD,Bee,5/4/24,62380000,Other,School Building & Buses,A,1304,1148,Carried
Cranfills Gap ISD,ISD,Bosque-Hamilton,5/4/24,6750000,Other,School Building & Buses,A,120,53,Carried
Elgin ISD,ISD,Bastrop,5/4/24,9000000,Other,Technology,B,954,617,Carried
Comstock ISD,ISD,Val Verde,5/4/24,11250000,Building,School Building & Buses,A,62,24,Carried
Cayuga ISD,ISD,Anderson,5/4/24,6000000,Other,SchoolBuildingAthleticImprovements,B,157,132,Carried
Chico ISD,ISD,Wise,5/4/24,10500000,Building,School  Building,A,191,136,Carried
Banquete ISD,ISD,Nueces,5/4/24,48445000,Other,School Building & Security,A,159,81,Carried
Castleberry ISD,ISD,Tarrant,5/4/24,98000000,Building,School  Building,A,441,308,Carried
Forestburg ISD,ISD,Montague,5/4/24,4100000,Building,School  Building,A,98,59,Carried
Canadian ISD,ISD,Hemphill,5/4/24,2000000,Other,Technology,B,298,59,Carried
Cedar Hill ISD,ISD,Dallas,5/4/24,3900000,Other,Technology,B,2199,1341,Carried
Columbus ISD,ISD,Colorado,5/4/24,5320000,Other,Educational Center,B,762,514,Carried
Boling ISD,ISD,Wharton-Matagorda,5/4/24,40500000,Building,School  Building,A,290,248,Carried
Ben Bolt-Palito Blanco ISD,ISD,Jim Wells,5/4/24,8000000,Other,School Building & Buses,A,141,29,Carried
Cedar Hill ISD,ISD,Dallas,5/4/24,278500000,Building,School  Building,A,2272,1267,Carried
Culberson County-Allamoore ISD,ISD,Culberson,5/4/24,3000000,Building,Housing Facility,E,240,47,Carried
Elysian Fields ISD,ISD,Harrison-Panola,5/4/24,52421531,Other,School Building & Buses,A,213,163,Carried
Bronte ISD,ISD,Coke,5/4/24,1135000,Other,Athletic Facilities Improvements,B,168,68,Carried
Elgin ISD,ISD,Bastrop,5/4/24,366000000,Other,School Building & Buses,A,1069,495,Carried
Evadale ISD,ISD,Jasper,5/4/24,24000000,Other,School Building & Buses,A,249,120,Carried
Bovina ISD,ISD,Parmer,5/4/24,7000000,Other,Athletic Facilities Improvements,B,201,152,Carried
Navarro ISD,ISD,Guadalupe,5/4/24,73700000,Other,School Building & Security,A,598,261,Carried
Hearne ISD,ISD,Robertson,5/4/24,2500000,Other,Stadium,C,255,157,Carried
Navarro ISD,ISD,Guadalupe,5/4/24,35500000,Other,Stadium,B,512,346,Carried
Navarro ISD,ISD,Guadalupe,5/4/24,10800000,Other,Athletic Facilities Improvements,C,518,340,Carried
Natalia ISD,ISD,Medina,5/4/24,5555000,Other,Athletic Facilities Improvements,B,158,90,Carried
Irion Co ISD,ISD,Irion,5/4/24,1000000,Other,Technology,B,201,96,Carried
Hearne ISD,ISD,Robertson,5/4/24,1500000,Other,Technology,D,264,149,Carried
Irion Co ISD,ISD,Irion,5/4/24,53000000,Other,School Building & Buses,A,192,111,Carried
Mabank ISD,ISD,Kaufman,5/4/24,116000000,Building,School  Building,A,1404,584,Carried
Joshua ISD,ISD,Johnson,5/4/24,63070000,Building,School  Building,A,1545,1329,Carried
Hempstead ISD,ISD,Waller,5/4/24,42320000,Other,School Building & Security,A,925,349,Carried
Medina Valley ISD,ISD,Medina,5/4/24,40850000,Other,Stadium,B,823,698,Carried
Kaufman ISD,ISD,Kaufman,5/4/24,170000000,Building,School  Building,A,1025,617,Carried
Irion Co ISD,ISD,Irion,5/4/24,1000000,Building,Housing Facility,C,205,96,Carried
Lewisville ISD,ISD,Denton,5/4/24,16250000,Building,Natatorium,A,12113,8767,Carried
McGregor ISD,ISD,McLennan,5/4/24,82000000,Other,School Building & Security,A,385,224,Carried
Georgetown ISD,ISD,Williamson,5/4/24,20330000,Other,Technology,B,5508,2661,Carried
Georgetown ISD,ISD,Williamson,5/4/24,597470000,Other,School Building & Buses,A,5709,2466,Carried
Mansfield ISD,ISD,Tarrant,5/4/24,584500000,Other,School Building & Security,A,5828,4891,Carried
Milford ISD,ISD,Ellis,5/4/24,11500000,Other,SchoolBuildingAthleticImprovements,A,120,46,Carried
Joshua ISD,ISD,Johnson,5/4/24,29568000,Building,Educational Center,C,1526,1368,Carried
Lewisville ISD,ISD,Denton,5/4/24,65585000,Other,Athletic Facilities Improvements,B,11468,9516,Carried
La Vega ISD,ISD,McLennan,5/4/24,76526740,Other,School Building & Buses,A,297,128,Carried
Hempstead ISD,ISD,Waller,5/4/24,3400000,Other,Athletic Facilities Improvements,B,862,400,Carried
Joshua ISD,ISD,Johnson,5/4/24,4648000,Other,Maintenance,D,1586,1306,Carried
Harrold ISD,ISD,Wilbarger,5/4/24,10000000,Other,School Building & Security,A,44,19,Carried
Georgetown ISD,ISD,Williamson,5/4/24,27850000,Other,Performing Arts,C,5118,3039,Carried
Mansfield ISD,ISD,Tarrant,5/4/24,4000000,Other,Technology,B,5654,5032,Carried
Lytle ISD,ISD,Atascosa,5/4/24,20650000,Building,School  Building,A,209,90,Carried
Lewisville ISD,ISD,Denton,5/4/24,19999000,Other,Stadium,C,11768,9201,Carried
Joshua ISD,ISD,Johnson,5/4/24,8960000,Other,Cafeteria,B,1585,1294,Carried
Georgetown ISD,ISD,Williamson,5/4/24,3860000,Other,Athletic Facilities Improvements,D,4944,3211,Carried
Hallettsville ISD,ISD,Lavaca,5/4/24,9325000,Other,SchoolBuildingAthleticImprovements,B,1009,543,Carried
Harmony ISD,ISD,Upshur,5/4/24,25000000,Other,School Building & Security,A,176,114,Carried
Natalia ISD,ISD,Medina,5/4/24,17465000,Building,School  Building,A,170,79,Carried
La Vega ISD,ISD,McLennan,5/4/24,11915753,Building,Community Center,C,273,144,Carried
Henrietta ISD,ISD,Clay,5/4/24,35000000,Building,School  Building,A,438,270,Carried
Hearne ISD,ISD,Robertson,5/4/24,11500000,Other,School Building & Security,A,261,153,Carried
Medina Valley ISD,ISD,Medina,5/4/24,249150000,Other,School Building & Security,A,966,556,Carried
Poteet ISD,ISD,Atascosa,5/4/24,65000000,Other,School Building & Security,A,348,264,Carried
McMullen County ISD,ISD,McMullen,5/4/24,12000000,Other,School Building & Buses,A,53,8,Carried
Rochelle ISD,ISD,McCulloch,5/4/24,6750000,Building,School  Building,A,163,55,Carried
Alice ISD,ISD,Jim Wells,5/4/24,38000000,Other,Stadium,A,1128,1064,Carried
Olney ISD,ISD,Young,5/4/24,8350000,Building,School  Building,A,398,158,Carried
Rivercrest ISD,ISD,Red River,5/4/24,23000000,Other,School Building & Buses,A,433,144,Carried
Penelope ISD,ISD,Hill,5/4/24,4130000,Building,School  Building,A,68,24,Carried
Gause ISD,ISD,Milam,5/4/24,3000000,Other,School Building & Buses,A,47,36,Carried
San Diego ISD,ISD,Duval,5/4/24,3500000,Building,Multi-Pupose Center,B,103,82,Carried
San Diego ISD,ISD,Duval,5/4/24,1752420,Building,School  Building,A,192,75,Carried
Onalaska ISD,ISD,Polk,5/4/24,42000000,Building,School  Building,A,386,147,Carried
New Diana ISD,ISD,Upshur,5/4/24,28250000,Other,School Building & Security,A,390,382,Carried
Lefors ISD,ISD,Gray,5/4/24,2650000,Building,School  Building,A,95,35,Carried
Plains ISD,ISD,Yoakum,5/4/24,29284372,Other,Athletic Facilities Improvements,B,166,59,Carried
Plains ISD,ISD,Yoakum,5/4/24,15495628,Other,School Building & Buses,A,177,45,Carried
San Diego ISD,ISD,Duval,5/4/24,247580,Other,Stadium,C,104,78,Carried
Longview ISD,ISD,Gregg,5/4/24,41900000,Building,Natatorium,E,2841,1853,Carried
Longview ISD,ISD,Gregg,5/4/24,76500000,Building,School  Building,B,2876,1824,Carried
Canutillo ISD,ISD,El Paso,5/4/24,379000000,Building,School  Building,A,1042,1011,Carried
Graford ISD,ISD,Palo Pinto,5/4/24,59950000,Other,School Building & Buses,A,357,237,Carried
Navasota ISD,ISD,Grimes,5/4/24,71000000,Building,School  Building,A,462,378,Carried
Longview ISD,ISD,Gregg,5/4/24,79100000,Building,Multi-Pupose Center,C,2745,1944,Carried
Longview ISD,ISD,Gregg,5/4/24,237700000,Other,School Building & Security,A,3103,1613,Carried
Longview ISD,ISD,Gregg,5/4/24,21000000,Other,Stadium,D,2722,1970,Carried
Navasota ISD,ISD,Grimes,5/4/24,3040000,Refund,Refunding Notes,B,460,375,Carried
Canutillo ISD,ISD,El Paso,5/4/24,7200000,Refund,Refunding,B,1026,1014,Carried
Colorado ISD,ISD,Mitchell,5/4/24,8100000,Other,School Building & Buses,A,232,186,Carried
Sulphur Springs ISD,ISD,Hopkins,5/4/24,157150000,Building,School  Building,A,1756,683,Carried
Charlotte ISD,ISD,Atascosa,5/4/24,4000000,Other,Athletic Facilities & Renovations,B,54,40,Carried
Charlotte ISD,ISD,Atascosa,5/4/24,16000000,Building,School  Building,A,61,37,Carried
Galena Park ISD,ISD,Harris,5/4/24,530010000,Other,School Building & Buses,A,1192,394,Carried
La Pryor ISD,ISD,Zavala,5/4/24,23000000,Other,SchoolBuildingAthleticImprovements,A,150,83,Carried
Mustang Ridge MUD,WD,Travis,5/4/24,103000000,Refund,Road & Refunding Roads,D,1,0,Carried
Lower Valley WD,WD,El Paso,5/4/24,35000000,Other,Water & Sewer,A,314,308,Carried
Fort Bend County MUD 162,WD,Fort Bend,5/4/24,50500000,Refund,Recreation & Refunding,B,21,18,Carried
Collin County MUD 05,WD,Collin,5/4/24,617500000,Refund,Refunding,B,1,0,Carried
Montgomery County MUD 202A,WD,Montgomery,5/4/24,557900000,Refund,Refunding,D,2,0,Carried
Fort Bend County MUD 162,WD,Fort Bend,5/4/24,300000000,Refund,"Water, Sewer, Drainage, & Refunding",A,23,16,Carried
Sonterra MUD,WD,Williamson,5/4/24,55000000,Other,Parks & Recreation,A,72,48,Carried
Montgomery County MUD 202A,WD,Montgomery,5/4/24,180500000,Other,Road,B,2,0,Carried
Mustang Ridge MUD,WD,Travis,5/4/24,82400000,Other,Road,C,1,0,Carried
Montgomery County MUD 202A,WD,Montgomery,5/4/24,346200000,Other,"Water, Sewer, & Drainage",A,2,0,Carried
Collin County MUD 05,WD,Collin,5/4/24,387500000,Refund,Road & Refunding Roads,D,1,0,Carried
Mustang Ridge MUD,WD,Travis,5/4/24,8000000,Other,Parks & Recreation,E,1,0,Carried
Mustang Ridge MUD,WD,Travis,5/4/24,178875000,Refund,Refunding,B,1,0,Carried
Collin County MUD 05,WD,Collin,5/4/24,310000000,Other,Road,C,1,0,Carried
Corinthian Point MUD 2,WD,Montgomery,5/4/24,30000000,Refund,"Water, Sewer, Drainage, & Refunding",A,88,63,Carried
Collin County MUD 05,WD,Collin,5/4/24,494000000,Other,Utility,A,1,0,Carried
Mustang Ridge MUD,WD,Travis,5/4/24,10000000,Refund,Parks & Recreation Refunding,F,1,0,Carried
Mustang Ridge MUD,WD,Travis,5/4/24,143100000,Other,Utility,A,1,0,Carried
Montgomery County MUD 202A,WD,Montgomery,5/4/24,31200000,Other,Parks & Recreation,C,2,0,Carried
Westwood Shores MUD,WD,Trinity,5/4/24,7000000,Other,"Water, Sewer, & Drainage",A,275,110,Carried
North Forest MUD,WD,Harris,5/4/24,12195000,Other,"Water, Sewer, & Drainage",A,65,9,Carried
Cresson Crossroads MUD 2,WD,Johnson-Parker,5/4/24,134645000,Other,Utility,A,1,0,Carried
Cresson Crossroads MUD 2,WD,Johnson-Parker,5/4/24,185306250,Refund,Road & Refunding Roads,D,1,0,Carried
Brookshire MWD,WD,Waller,5/4/24,30000000,Refund,"Water, Sewer, Drainage, & Refunding",C,2,0,Carried
Cresson Crossroads MUD 2,WD,Johnson-Parker,5/4/24,168306250,Refund,Refunding,B,1,0,Carried
Northampton MUD,WD,Harris,5/4/24,86000000,Other,"Water, Sewer, & Drainage",A,297,65,Carried
Brookshire MWD,WD,Waller,5/4/24,8000000,Other,Parks & Recreation,D,2,0,Carried
Brookshire MWD,WD,Waller,5/4/24,8000000,Refund,Parks & Recreation Refunding,E,2,0,Carried
Cresson Crossroads MUD 2,WD,Johnson-Parker,5/4/24,148245000,Other,Road,C,1,0,Carried
Brookshire MWD,WD,Waller,5/4/24,30000000,Other,"Water, Sewer, & Drainage",B,2,0,Carried
